time_index,exceed_probability,warning_level,warning_color
265,0.26,2,yellow
266,0.26,2,yellow
267,0.24,2,yellow
268,0.24,2,yellow
269,0.24,2,yellow
270,0.24,2,yellow
271,0.24,2,yellow
272,0.24,2,yellow
273,0.24,2,yellow
274,0.22,2,yellow
275,0.2,2,yellow
276,0.2,2,yellow
277,0.2,2,yellow
278,0.2,2,yellow
279,0.24,2,yellow
280,0.24,2,yellow
281,0.24,2,yellow
282,0.26,2,yellow
283,0.26,2,yellow
284,0.26,2,yellow
285,0.28,2,yellow
286,0.3,2,yellow
287,0.3,2,yellow
288,0.3,2,yellow
289,0.3,2,yellow
290,0.3,2,yellow
