time_index,mean,std,p05,p25,p50,p75,p95,actual
144,263.18564,1.0103444,261.5896,262.40262,263.1869,263.92963,264.85556,256.09398
145,263.20087,1.0093924,261.60596,262.42023,263.2025,263.94388,264.86902,256.11442
146,263.21603,1.008448,261.62238,262.43747,263.21814,263.9582,264.8824,256.13367
147,263.23117,1.0075213,261.63876,262.45312,263.2337,263.97253,264.89563,256.15227
148,263.24622,1.0066224,261.65515,262.46832,263.24915,263.9869,264.90875,256.17087
149,263.26123,1.0057462,261.6715,262.48343,263.26453,264.0013,264.9217,256.18947
150,263.27618,1.0049028,261.68787,262.49844,263.27982,264.01584,264.9345,256.20808
151,263.29114,1.0040829,261.70422,262.51346,263.29517,264.03043,264.94727,256.22668
152,263.30615,1.0033011,261.72064,262.52844,263.31055,264.04517,264.96002,256.24528
153,263.32126,1.0025342,261.7372,262.54355,263.326,264.06006,264.9728,256.26388
154,263.33652,1.0017827,261.75388,262.55872,263.34158,264.07516,264.9857,256.28248
155,263.35187,1.0010288,261.77072,262.57404,263.3573,264.0904,264.9987,256.30109
156,263.3673,1.0002767,261.78766,262.58948,263.3731,264.1057,265.01178,256.31969
157,263.38284,0.9995276,261.80463,262.60495,263.389,264.12112,265.0249,256.33829
158,263.39835,0.99877924,261.82162,262.62042,263.4049,264.13654,265.03806,256.35689
159,263.41388,0.99802864,261.8386,262.63593,263.42072,264.15192,265.05115,256.37549
160,263.4293,0.9972737,261.85547,262.65134,263.43646,264.16718,265.0642,256.3941
161,263.44458,0.996524,261.87222,262.6667,263.4521,264.18237,265.07718,256.4127
162,263.45972,0.99576163,261.8888,262.68195,263.4676,264.19736,265.08997,256.4313
163,263.47464,0.99499756,261.90512,262.69702,263.48285,264.21216,265.1026,256.4499
164,263.48932,0.9942281,261.92117,262.7119,263.4978,264.22668,265.11505,256.46851
165,263.50372,0.9934484,261.93692,262.7266,263.5125,264.2409,265.12726,256.48711
166,263.5178,0.99265903,261.95233,262.74103,263.52686,264.25476,265.13916,256.50571
167,263.5315,0.9918603,261.9673,262.75516,263.54083,264.26825,265.15076,256.52431
168,263.54477,0.99105537,261.98172,262.76898,263.55438,264.2813,265.162,256.54291
169,263.5576,0.99023366,261.99533,262.78247,263.56744,264.29382,265.17285,256.56152
170,263.56992,0.98939633,262.0084,262.79553,263.58002,264.30585,265.1833,256.58012
171,263.58167,0.98854876,262.0208,262.8082,263.59198,264.3173,265.19327,256.59872
172,263.59286,0.98768425,262.03265,262.8204,263.6034,264.3281,265.20276,256.61732
173,263.60342,0.9868009,262.04376,262.8321,263.61414,264.33823,265.2117,256.63592
174,263.6133,0.98590064,262.05414,262.84326,263.6242,264.34766,265.22006,256.65453
175,263.62247,0.9849837,262.06372,262.85388,263.63348,264.35632,265.22784,256.67313
176,263.6309,0.9840477,262.07248,262.86395,263.64203,264.36417,265.235,256.69173
177,263.6385,0.9830888,262.08032,262.87332,263.64975,264.37115,265.24146,256.71033
178,263.64526,0.98211694,262.08728,262.88208,263.65662,264.37726,265.24716,256.72894
179,263.65115,0.98112035,262.09326,262.89008,263.66257,264.38242,265.25217,256.74754
180,263.65613,0.98010534,262.09824,262.89743,263.6676,264.3866,265.2564,256.76614
181,263.6602,0.9790799,262.10217,262.90247,263.67166,264.38977,265.25986,256.78474
182,263.66333,0.97803384,262.1052,262.90622,263.6748,264.39197,265.2625,256.80334
183,263.66562,0.97698504,262.10724,262.90912,263.67712,264.3933,265.2645,256.82195
184,263.6671,0.9759291,262.1085,262.91122,263.67862,264.39374,265.26578,256.84055
185,263.668,0.9748727,262.10904,262.9127,263.67947,264.3935,265.2665,256.85915
186,263.66833,0.973832,262.1091,262.91357,263.6798,264.39273,265.26685,256.87775
187,263.66837,0.97279394,262.1088,262.91412,263.67984,264.39154,265.26688,256.89635
188,263.6682,0.971769,262.1083,262.91446,263.6797,264.39017,265.26672,256.91496
189,263.66803,0.9707637,262.10785,262.91473,263.67957,264.38876,265.2666,256.93356
190,263.66797,0.96977985,262.1075,262.91507,263.67953,264.3875,265.26654,256.95216
191,263.6682,0.96881366,262.10754,262.91565,263.6798,264.38654,265.26675,256.97076
192,263.6689,0.96786803,262.1081,262.91663,263.6806,264.38608,265.26736,256.98937
193,263.6702,0.96694785,262.10934,262.91812,263.682,264.38623,265.26846,257.00797
194,263.67227,0.9660489,262.11148,262.92035,263.6842,264.3872,265.2702,257.02657
195,263.67526,0.9651736,262.11462,262.92343,263.68738,264.38916,265.27274,257.04517
196,263.67932,0.9643211,262.119,262.9275,263.69168,264.39227,265.27615,257.06377
197,263.68466,0.9634929,262.12494,262.93274,263.69727,264.3967,265.28067,257.08238
198,263.6914,0.96268564,262.13425,262.9393,263.70428,264.40265,265.28635,257.10098
