Date,Mean_Prediction,Std_Prediction,Min_Prediction,Max_Prediction,Q25_Prediction,Q75_Prediction
2019-09-11,953.4551477050782,3.8804204879380984,941.9425048828125,960.590087890625,950.9952087402344,955.9878387451172
2019-09-12,953.533701171875,3.8829613018928617,942.010986328125,960.6742553710938,951.0807037353516,956.0657806396484
2019-09-13,953.6123266601562,3.885518968535524,942.0794677734375,960.7586059570312,951.1663208007812,956.1437835693359
2019-09-14,953.8487280273438,3.8932458202465092,942.2855224609375,961.0121459960938,951.4236450195312,956.3783416748047
2019-09-15,953.9277319335938,3.8958581278838618,942.3543701171875,961.0968017578125,951.5096893310547,956.4568481445312
2019-09-16,954.0068347167969,3.898483708573575,942.4232788085938,961.1815795898438,951.5957794189453,956.5353698730469
2019-09-17,954.0860668945312,3.9011053996480016,942.4923706054688,961.2664184570312,951.6820373535156,956.6140899658203
2019-09-18,954.1654089355469,3.9037604239189285,942.5614624023438,961.3515014648438,951.7684173583984,956.6928253173828
2019-09-19,954.2448803710937,3.906406803966761,942.6307373046875,961.4366455078125,951.8549957275391,956.7717590332031
2019-09-20,954.3244897460937,3.909080896978649,942.7001953125,961.5219116210938,951.941650390625,956.8508911132812
2019-09-21,954.4042431640624,3.9117611145202202,942.7696533203125,961.6072387695312,952.0284881591797,956.9301147460938
2019-09-22,954.4841247558594,3.9144443043524433,942.8394165039062,961.6928100585938,952.1154479980469,957.0095062255859
2019-09-23,954.5641796875,3.917159752308742,942.9092407226562,961.7785034179688,952.2026214599609,957.0890655517578
2019-09-24,954.6443872070313,3.919878403000638,942.979248046875,961.8643798828125,952.2899475097656,957.1688385009766
2019-09-25,954.7247497558594,3.9226134054344275,943.04931640625,961.9502563476562,952.3773956298828,957.2486877441406
2019-09-26,954.8053051757812,3.9253600900913006,943.11962890625,962.0364990234375,952.465087890625,957.3289031982422
2019-09-27,954.8860302734375,3.928121688977571,943.1901245117188,962.1228637695312,952.5529479980469,957.4091186523438
2019-09-28,954.9669396972656,3.9309103167021604,943.2607421875,962.2092895507812,952.6410064697266,957.4896392822266
2019-09-29,955.0480187988281,3.933699094450725,943.3316040039062,962.2959594726562,952.7292327880859,957.5702972412109
2019-09-30,955.1293237304687,3.9364988131176855,943.402587890625,962.3828125,952.8177185058594,957.6512145996094
2019-10-01,955.2108361816406,3.939336243891693,943.4738159179688,962.469970703125,952.9064178466797,957.7323760986328
2019-10-02,955.2925427246093,3.94217688326888,943.545166015625,962.5571899414062,952.9953308105469,957.8137664794922
2019-10-03,955.37447265625,3.9450273951065236,943.6167602539062,962.6447143554688,953.0844268798828,957.8953399658203
2019-10-04,955.4566381835938,3.9478776909473923,943.6886596679688,962.7322998046875,953.173828125,957.9771881103516
2019-10-05,955.5390307617188,3.9507749014026827,943.7607421875,962.8202514648438,953.2633972167969,958.0592803955078
2019-10-06,955.6216552734375,3.953666120116672,943.8330688476562,962.9083862304688,953.3533325195312,958.1416320800781
2019-10-07,955.7045349121094,3.9565789329315573,943.9055786132812,962.9967041015625,953.4434356689453,958.2242431640625
2019-10-08,955.78767578125,3.9595028900552314,943.9783935546875,963.0852661132812,953.5338439941406,958.3071136474609
2019-10-09,955.8710632324219,3.9624566529446237,944.0513305664062,963.1741943359375,953.6210784912109,958.3902893066406
2019-10-10,955.9547229003906,3.965412420096407,944.1246337890625,963.2632446289062,953.708251953125,958.4736938476562
2019-10-11,956.0386511230469,3.9683830481419484,944.1982421875,963.3526000976562,953.7956237792969,958.557373046875
2019-10-12,956.1228601074218,3.9713822809789314,944.2720336914062,963.4421997070312,953.8833160400391,958.6415100097656
2019-10-13,956.2073449707032,3.9743876724337546,944.3461303710938,963.5321044921875,953.9712829589844,958.7257995605469
2019-10-14,956.2921447753906,3.9774159202128083,944.4205322265625,963.622314453125,954.0596008300781,958.8104858398438
